Indicator,Historical_Column,Transform
US10Y,US10Y,change
US2Y,US2Y,change
US_REAL10Y,US_REAL10Y,change
US_10Y2Y_SPREAD,US_10Y2Y_SPREAD,change
KR3Y,KR3Y,change
KR10Y,KR10Y,change
FED_HIKE_EXPECTATION,FED_HIKE_EXPECTATION,change
BOK_HIKE_EXPECTATION,BOK_HIKE_EXPECTATION,change
US_CPI,US_CPI_SURPRISE,level
US_CORE_CPI,US_CORE_CPI_SURPRISE,level
US_CORE_PCE,US_CORE_PCE_SURPRISE,level
US_BREAKEVEN_10Y,US_BREAKEVEN_10Y,change
KR_CPI,KR_CPI_SURPRISE,level
USDKRW,USDKRW,pct_change
DXY,DXY,pct_change
VIX,VIX,pct_change
MOVE,MOVE,pct_change
US_HY_SPREAD,US_HY_SPREAD,change
FCI_TIGHTENING,FCI_TIGHTENING,change
GEOPOLITICAL_RISK,GEOPOLITICAL_RISK,pct_change
US_ISM_MFG,US_ISM_MFG_SURPRISE,level
US_UNEMPLOYMENT,US_UNEMPLOYMENT_SURPRISE,level
US_INITIAL_CLAIMS,US_INITIAL_CLAIMS_SURPRISE,level
US_NFP_SURPRISE,US_NFP_SURPRISE,level
KR_EXPORT_GROWTH,KR_EXPORT_SURPRISE,level
KR_SEMI_EXPORT_GROWTH,KR_SEMI_EXPORT_SURPRISE,level
CB_GOLD_NET_BUYING,CB_GOLD_NET_BUYING,pct_change
