Indicator,Indicator_KR,Category,Factor_Group,Domestic_Equity_Score,Foreign_Equity_Score,Bond_Score,Gold_Score,Importance
US10Y,미국 10년 국채금리,Rate,RATE,-2,-3,-3,-2,5
US2Y,미국 2년 국채금리,Rate,RATE,-1,-2,-2,-2,4
US_REAL10Y,미국 10년 실질금리,Rate,RATE,-1,-2,-2,-3,5
US_10Y2Y_SPREAD,미국 10Y-2Y 장단기금리차,Rate,RATE,1,1,-1,-1,3
KR3Y,한국 국고채 3년 금리,Rate,RATE,-2,0,-3,0,5
KR10Y,한국 국고채 10년 금리,Rate,RATE,-1,0,-3,0,5
FED_HIKE_EXPECTATION,Fed 금리인상 기대,Policy,RATE,-2,-3,-2,-2,5
BOK_HIKE_EXPECTATION,한국은행 금리인상 기대,Policy,RATE,-2,0,-3,0,4
US_CPI,미국 CPI,Inflation,INFLATION,-2,-2,-3,1,4
US_CORE_CPI,미국 Core CPI,Inflation,INFLATION,-2,-3,-3,0,5
US_CORE_PCE,미국 Core PCE,Inflation,INFLATION,-2,-3,-3,0,5
US_BREAKEVEN_10Y,미국 10년 기대인플레이션,Inflation,INFLATION,-1,-2,-3,2,4
KR_CPI,한국 CPI,Inflation,INFLATION,-2,0,-2,1,3
USDKRW,원/달러 환율,FX,FX,-1,3,-1,3,5
DXY,달러인덱스 DXY,FX,FX,-1,-1,0,-3,5
VIX,VIX 변동성지수,Risk,RISK,-3,-3,1,2,5
MOVE,MOVE 채권변동성지수,Risk,RISK,-2,-2,-2,1,4
US_HY_SPREAD,미국 하이일드 스프레드,Credit,RISK,-3,-3,1,2,5
FCI_TIGHTENING,금융여건 긴축,Financial_Conditions,RISK,-2,-3,1,1,4
GEOPOLITICAL_RISK,지정학적 위험지수,Risk,RISK,-2,-2,1,3,4
US_ISM_MFG,미국 ISM 제조업 PMI,Growth,GROWTH,2,2,-1,-1,4
US_UNEMPLOYMENT,미국 실업률,Labor,GROWTH,-2,-2,3,2,4
US_INITIAL_CLAIMS,미국 신규실업수당 청구,Labor,GROWTH,-1,-2,2,1,3
US_NFP_SURPRISE,미국 비농업고용 예상상회,Labor,GROWTH,1,1,-2,-1,4
KR_EXPORT_GROWTH,한국 수출증가율,Korea_Growth,GROWTH,3,0,-1,0,5
KR_SEMI_EXPORT_GROWTH,한국 반도체 수출증가율,Korea_Growth,GROWTH,3,0,-1,0,4
CB_GOLD_NET_BUYING,중앙은행 금 순매입,Gold_Specific,GOLD_SPECIFIC,0,0,0,3,4
