Indicator,Signal_Type,Unit,Update_Frequency,Factor_Group,Mild_Threshold,Strong_Threshold,Extreme_Threshold
US10Y,continuous_change,bp,daily,RATE,5,10,20
US2Y,continuous_change,bp,daily,RATE,5,10,20
US_REAL10Y,continuous_change,bp,daily,RATE,5,10,20
US_10Y2Y_SPREAD,continuous_change,bp,daily,RATE,5,10,20
KR3Y,continuous_change,bp,daily,RATE,5,10,20
KR10Y,continuous_change,bp,daily,RATE,5,10,20
FED_HIKE_EXPECTATION,continuous_change,bp,daily,RATE,5,10,20
BOK_HIKE_EXPECTATION,continuous_change,bp,daily,RATE,5,10,20
US_CPI,surprise,pct_point,monthly,INFLATION,0.05,0.1,0.2
US_CORE_CPI,surprise,pct_point,monthly,INFLATION,0.05,0.1,0.2
US_CORE_PCE,surprise,pct_point,monthly,INFLATION,0.05,0.1,0.2
US_BREAKEVEN_10Y,continuous_change,bp,daily,INFLATION,5,10,20
KR_CPI,surprise,pct_point,monthly,INFLATION,0.05,0.1,0.2
USDKRW,percent_change,percent,intraday,FX,0.5,1.0,2.0
DXY,percent_change,percent,intraday,FX,0.5,1.0,2.0
VIX,percent_change,percent,intraday,RISK,5.0,10.0,20.0
MOVE,percent_change,percent,daily,RISK,5.0,10.0,20.0
US_HY_SPREAD,continuous_change,bp,daily,RISK,5,10,20
FCI_TIGHTENING,continuous_change,index_point,weekly,RISK,0.1,0.25,0.5
GEOPOLITICAL_RISK,percent_change,percent,daily,RISK,5.0,10.0,20.0
US_ISM_MFG,surprise,index_point,monthly,GROWTH,0.5,1.0,2.0
US_UNEMPLOYMENT,surprise,pct_point,monthly,GROWTH,0.05,0.1,0.2
US_INITIAL_CLAIMS,surprise,thousand,weekly,GROWTH,10,20,40
US_NFP_SURPRISE,surprise,thousand,monthly,GROWTH,25,75,150
KR_EXPORT_GROWTH,surprise,pct_point,monthly,GROWTH,1.0,2.0,4.0
KR_SEMI_EXPORT_GROWTH,surprise,pct_point,monthly,GROWTH,1.5,3.0,6.0
CB_GOLD_NET_BUYING,percent_change,percent,monthly,GOLD_SPECIFIC,5.0,10.0,20.0
