Indicator,Series_ID,Transform,Lookback_Obs,Output_Unit,Description
US10Y,DGS10,LEVEL_CHANGE,5,pp,미국 10년금리 5거래일 변화
US2Y,DGS2,LEVEL_CHANGE,5,pp,미국 2년금리 5거래일 변화
US_REAL10Y,DFII10,LEVEL_CHANGE,5,pp,미국 10년 실질금리 5거래일 변화
US_10Y2Y_SPREAD,T10Y2,LEVEL_CHANGE,5,pp,10Y-2Y 스프레드 5거래일 변화
US_CPI,CPIAUCSL,PCT_CHANGE,1,%,미국 CPI 전월비
US_CORE_CPI,CPILFESL,PCT_CHANGE,1,%,미국 Core CPI 전월비
US_CORE_PCE,PCEPILFE,PCT_CHANGE,1,%,미국 Core PCE 전월비
US_BREAKEVEN_10Y,T10YIE,LEVEL_CHANGE,5,pp,10년 기대인플레이션 5거래일 변화
USDKRW,DEXKOUS,PCT_CHANGE,5,%,원달러 5거래일 변화율
DXY,DTWEXBGS,PCT_CHANGE,5,%,달러지수 proxy 5거래일 변화율
VIX,VIXCLS,PCT_CHANGE,5,%,VIX 5거래일 변화율
US_HY_SPREAD,BAMLH0A0HYM2,LEVEL_CHANGE,5,pp,미국 HY 스프레드 5거래일 변화
FCI_TIGHTENING,NFCI,LEVEL_CHANGE,4,index,NFCI 4주 변화
US_UNEMPLOYMENT,UNRATE,LEVEL_CHANGE,1,pp,미국 실업률 전월 대비 변화
US_INITIAL_CLAIMS,ICSA,PCT_CHANGE,4,%,신규실업수당 4주 변화율
