Indicator,Series_ID,Frequency,Change_Lookback_Obs,Z_Lookback_Obs
US10Y,DGS10,DAILY,5,120
US2Y,DGS2,DAILY,5,120
US_REAL10Y,DFII10,DAILY,5,120
US_10Y2Y_SPREAD,T10Y2,DAILY,5,120
US_CPI,CPIAUCSL,MONTHLY,1,60
US_CORE_CPI,CPILFESL,MONTHLY,1,60
US_CORE_PCE,PCEPILFE,MONTHLY,1,60
US_BREAKEVEN_10Y,T10YIE,DAILY,5,120
USDKRW,DEXKOUS,DAILY,5,120
DXY,DTWEXBGS,DAILY,5,120
VIX,VIXCLS,DAILY,5,120
US_HY_SPREAD,BAMLH0A0HYM2,DAILY,5,120
FCI_TIGHTENING,NFCI,WEEKLY,4,104
US_UNEMPLOYMENT,UNRATE,MONTHLY,1,60
US_INITIAL_CLAIMS,ICSA,WEEKLY,4,104
