Indicator,Candidate_Columns,Transform,Lookback_Obs,Output_Unit
US10Y,US10Y;DGS10,LEVEL_CHANGE,1,pp
US2Y,US2Y;DGS2,LEVEL_CHANGE,1,pp
US_REAL10Y,US_REAL10Y;DFII10,LEVEL_CHANGE,1,pp
US_10Y2Y_SPREAD,US_10Y2Y_SPREAD;T10Y2,LEVEL_CHANGE,1,pp
US_CPI,US_CPI;CPIAUCSL,PCT_CHANGE,1,%
US_CORE_CPI,US_CORE_CPI;CPILFESL,PCT_CHANGE,1,%
US_CORE_PCE,US_CORE_PCE;PCEPILFE,PCT_CHANGE,1,%
US_BREAKEVEN_10Y,US_BREAKEVEN_10Y;T10YIE,LEVEL_CHANGE,1,pp
USDKRW,USDKRW;DEXKOUS,PCT_CHANGE,1,%
DXY,DXY;DTWEXBGS,PCT_CHANGE,1,%
VIX,VIX;VIXCLS,PCT_CHANGE,1,%
US_HY_SPREAD,US_HY_SPREAD;BAMLH0A0HYM2,LEVEL_CHANGE,1,pp
FCI_TIGHTENING,FCI_TIGHTENING;NFCI,LEVEL_CHANGE,1,index
US_UNEMPLOYMENT,US_UNEMPLOYMENT;UNRATE,LEVEL_CHANGE,1,pp
US_INITIAL_CLAIMS,US_INITIAL_CLAIMS;ICSA,PCT_CHANGE,1,%
US_ISM_MFG,US_ISM_MFG;ISM_MFG,LEVEL_CHANGE,1,index
KR_EXPORT_GROWTH,KR_EXPORT_GROWTH,LEVEL_CHANGE,1,pp
KR_CPI,KR_CPI,PCT_CHANGE,1,%
MOVE,MOVE,PCT_CHANGE,1,%
GEOPOLITICAL_RISK,GEOPOLITICAL_RISK;GPR,PCT_CHANGE,1,%
KR_SEMI_EXPORT_GROWTH,KR_SEMI_EXPORT_GROWTH,LEVEL_CHANGE,1,pp
CB_GOLD_NET_BUYING,CB_GOLD_NET_BUYING,PCT_CHANGE,1,%
