date,generated_at,risk,health,opportunity_asset,opportunity_score
2026-08-30,2026-08-30T21:37:35+09:00,49.67,74.02,Gold,60.2
2026-08-31,2026-08-31T09:45:38+09:00,49.67,74.02,Gold,60.2
2026-09-01,2026-09-01T10:21:24+09:00,49.55,74.02,Gold,60.22
2026-09-02,2026-09-02T09:24:31+09:00,48.54,74.02,Gold,60.76
2026-09-03,2026-09-03T09:30:43+09:00,51.27,74.02,Gold,60.52
2026-09-04,2026-09-04T09:16:00+09:00,50.15,74.02,Gold,60.65
2026-09-07,2026-09-07T09:11:25+09:00,49.12,74.02,Gold,60.83
2026-09-08,2026-09-08T09:36:32+09:00,49.12,74.02,Gold,60.83
2026-09-09,2026-09-09T09:26:19+09:00,48.83,74.02,Gold,60.87
2026-09-10,2026-09-10T09:25:52+09:00,48.9,74.02,Gold,60.86
2026-09-11,2026-09-11T09:21:51+09:00,49.24,74.02,Gold,60.82
2026-09-14,2026-09-14T09:20:46+09:00,49.62,74.02,Gold,60.86
2026-09-15,2026-09-15T09:47:21+09:00,49.46,74.02,Gold,60.77
2026-09-16,2026-09-16T09:39:18+09:00,49.49,73.99,Gold,60.77
2026-09-17,2026-09-17T09:47:12+09:00,49.58,74.0,Gold,60.56
2026-09-18,2026-09-18T09:37:29+09:00,49.73,74.0,Gold,60.54
2026-09-21,2026-09-21T09:25:02+09:00,49.63,74.0,Gold,60.55
2026-09-22,2026-09-22T10:01:21+09:00,49.45,74.0,Gold,60.57
2026-09-23,2026-09-23T09:50:02+09:00,49.3,74.0,Gold,60.59
