Indicator,Observed_Change
US10Y,8.0
US2Y,0.0
US_REAL10Y,5.0
US_10Y2Y_SPREAD,8.0
KR3Y,0.0
KR10Y,10.6
FED_HIKE_EXPECTATION,0.0
BOK_HIKE_EXPECTATION,0.0
US_CPI,0.07366914
US_CORE_CPI,0.21543451
US_CORE_PCE,0.24551551
US_BREAKEVEN_10Y,5.78571429
KR_CPI,0.0
USDKRW,-5.5715925
DXY,-1.44763137
VIX,7.29160153
MOVE,0.0
US_HY_SPREAD,-5.19047619
FCI_TIGHTENING,-0.022
GEOPOLITICAL_RISK,0.0
US_ISM_MFG,0.16298143
US_UNEMPLOYMENT,-0.1
US_INITIAL_CLAIMS,2.25
US_NFP_SURPRISE,-23.0
KR_EXPORT_GROWTH,91.11123618
KR_SEMI_EXPORT_GROWTH,0.0
CB_GOLD_NET_BUYING,0.0
