Indicator,Observed_Change
US10Y,8.0
US2Y,0.0
US_REAL10Y,5.0
US_10Y2Y_SPREAD,8.0
KR3Y,13.9
KR10Y,0.0
FED_HIKE_EXPECTATION,0.0
BOK_HIKE_EXPECTATION,13.9
US_CPI,0.39601818
US_CORE_CPI,0.28979569
US_CORE_PCE,0.24551551
US_BREAKEVEN_10Y,6.46218487
KR_CPI,0.0
USDKRW,-5.5715925
DXY,-1.44763137
VIX,3.78279188
MOVE,0.0
US_HY_SPREAD,-14.00297619
FCI_TIGHTENING,-0.00725
GEOPOLITICAL_RISK,0.0
US_ISM_MFG,-0.30061814
US_UNEMPLOYMENT,0.0
US_INITIAL_CLAIMS,-5.33333333
US_NFP_SURPRISE,162.0
KR_EXPORT_GROWTH,91.11123618
KR_SEMI_EXPORT_GROWTH,0.0
CB_GOLD_NET_BUYING,0.0
