Indicator,Status,Source_Column,Message
US10Y,ACTUAL,US10Y,OK
US2Y,ACTUAL,US2Y,OK
US_REAL10Y,ACTUAL,US_REAL10Y,OK
US_10Y2Y_SPREAD,ACTUAL,US_10Y2Y_SPREAD,OK
US_CPI,ACTUAL,US_CPI,OK
US_CORE_CPI,ACTUAL,US_CORE_CPI,OK
US_CORE_PCE,ACTUAL,US_CORE_PCE,OK
US_BREAKEVEN_10Y,ACTUAL,US_BREAKEVEN_10Y,OK
USDKRW,ACTUAL,USDKRW,OK
DXY,ACTUAL,DXY,OK
VIX,ACTUAL,VIX,OK
US_HY_SPREAD,ACTUAL,US_HY_SPREAD,OK
FCI_TIGHTENING,ACTUAL,FCI_TIGHTENING,OK
US_UNEMPLOYMENT,ACTUAL,US_UNEMPLOYMENT,OK
US_INITIAL_CLAIMS,ACTUAL,US_INITIAL_CLAIMS,OK
US_ISM_MFG,ACTUAL,US_ISM_MFG,OK
KR_EXPORT_GROWTH,ACTUAL,KR_EXPORT_GROWTH,OK
KR_CPI,ERROR,KR_CPI,insufficient observations
MOVE,ERROR,MOVE,insufficient observations
GEOPOLITICAL_RISK,ERROR,GEOPOLITICAL_RISK,insufficient observations
KR_SEMI_EXPORT_GROWTH,ERROR,KR_SEMI_EXPORT_GROWTH,insufficient observations
CB_GOLD_NET_BUYING,ERROR,CB_GOLD_NET_BUYING,insufficient observations
