Indicator,Asset,Empirical_Confidence,N
US10Y,Domestic_Equity,0.1887,185
US10Y,Foreign_Equity,0.2475,185
US10Y,Bond,0.6706,185
US10Y,Gold,0.379,186
US2Y,Domestic_Equity,0.1773,185
US2Y,Foreign_Equity,0.2531,185
US2Y,Bond,0.4757,185
US2Y,Gold,0.3232,186
US_REAL10Y,Domestic_Equity,0.2623,185
US_REAL10Y,Foreign_Equity,0.253,185
US_REAL10Y,Bond,0.6533,185
US_REAL10Y,Gold,0.4336,186
US_10Y2Y_SPREAD,Domestic_Equity,0.1344,185
US_10Y2Y_SPREAD,Foreign_Equity,0.1391,185
US_10Y2Y_SPREAD,Bond,0.4254,185
US_10Y2Y_SPREAD,Gold,0.2938,186
KR3Y,Domestic_Equity,0.1606,184
KR3Y,Foreign_Equity,0.1684,184
KR3Y,Bond,0.8497,184
KR3Y,Gold,0.3323,184
KR10Y,Domestic_Equity,0.2121,185
KR10Y,Foreign_Equity,0.1959,185
KR10Y,Bond,0.9015,185
KR10Y,Gold,0.3067,185
FED_HIKE_EXPECTATION,Domestic_Equity,0.1808,185
FED_HIKE_EXPECTATION,Foreign_Equity,0.2275,185
FED_HIKE_EXPECTATION,Bond,0.5145,185
FED_HIKE_EXPECTATION,Gold,0.2896,186
BOK_HIKE_EXPECTATION,Domestic_Equity,0.1606,184
BOK_HIKE_EXPECTATION,Foreign_Equity,0.1684,184
BOK_HIKE_EXPECTATION,Bond,0.8497,184
BOK_HIKE_EXPECTATION,Gold,0.3323,184
US_CPI,Domestic_Equity,0.2345,183
US_CPI,Foreign_Equity,0.3833,183
US_CPI,Bond,0.3025,183
US_CPI,Gold,0.1849,184
US_CORE_CPI,Domestic_Equity,0.185,183
US_CORE_CPI,Foreign_Equity,0.3244,183
US_CORE_CPI,Bond,0.3762,183
US_CORE_CPI,Gold,0.2294,184
US_CORE_PCE,Domestic_Equity,0.2469,185
US_CORE_PCE,Foreign_Equity,0.3447,185
US_CORE_PCE,Bond,0.3007,185
US_CORE_PCE,Gold,0.2522,186
US_BREAKEVEN_10Y,Domestic_Equity,0.3873,185
US_BREAKEVEN_10Y,Foreign_Equity,0.5309,185
US_BREAKEVEN_10Y,Bond,0.3408,185
US_BREAKEVEN_10Y,Gold,0.1895,186
USDKRW,Domestic_Equity,0.4154,185
USDKRW,Foreign_Equity,0.4469,185
USDKRW,Bond,0.1938,185
USDKRW,Gold,0.2501,186
DXY,Domestic_Equity,0.5019,185
DXY,Foreign_Equity,0.5095,185
DXY,Bond,0.1636,185
DXY,Gold,0.3726,186
VIX,Domestic_Equity,0.5143,185
VIX,Foreign_Equity,0.6494,185
VIX,Bond,0.1602,185
VIX,Gold,0.1596,186
US_HY_SPREAD,Domestic_Equity,0.4097,185
US_HY_SPREAD,Foreign_Equity,0.6765,185
US_HY_SPREAD,Bond,0.3257,185
US_HY_SPREAD,Gold,0.1323,186
FCI_TIGHTENING,Domestic_Equity,0.4974,185
FCI_TIGHTENING,Foreign_Equity,0.6762,185
FCI_TIGHTENING,Bond,0.2026,185
FCI_TIGHTENING,Gold,0.1804,186
US_ISM_MFG,Domestic_Equity,0.2479,185
US_ISM_MFG,Foreign_Equity,0.2441,185
US_ISM_MFG,Bond,0.1969,185
US_ISM_MFG,Gold,0.1989,186
US_UNEMPLOYMENT,Domestic_Equity,0.1521,183
US_UNEMPLOYMENT,Foreign_Equity,0.1963,183
US_UNEMPLOYMENT,Bond,0.1816,183
US_UNEMPLOYMENT,Gold,0.2237,184
US_INITIAL_CLAIMS,Domestic_Equity,0.1603,185
US_INITIAL_CLAIMS,Foreign_Equity,0.2878,185
US_INITIAL_CLAIMS,Bond,0.176,185
US_INITIAL_CLAIMS,Gold,0.1545,186
US_NFP_SURPRISE,Domestic_Equity,0.2123,185
US_NFP_SURPRISE,Foreign_Equity,0.3111,185
US_NFP_SURPRISE,Bond,0.2873,185
US_NFP_SURPRISE,Gold,0.1967,186
KR_EXPORT_GROWTH,Domestic_Equity,0.1934,174
KR_EXPORT_GROWTH,Foreign_Equity,0.2051,174
KR_EXPORT_GROWTH,Bond,0.2606,174
KR_EXPORT_GROWTH,Gold,0.2046,174
