Indicator,Historical_Column,Latest_Value,Historical_Percentile,Z_Score,N
US10Y,US10Y,12.99999999999999,75.81,0.6423,186
US2Y,US2Y,10.999999999999943,79.03,0.519,186
US_REAL10Y,US_REAL10Y,16.999999999999993,86.02,0.9841,186
US_10Y2Y_SPREAD,US_10Y2Y_SPREAD,2.000000000000046,65.59,0.2634,186
KR3Y,KR3Y,29.40000000000005,94.57,1.8273,184
KR10Y,KR10Y,10.599999999999987,78.92,0.6783,185
FED_HIKE_EXPECTATION,FED_HIKE_EXPECTATION,10.999999999999943,80.65,0.6111,186
BOK_HIKE_EXPECTATION,BOK_HIKE_EXPECTATION,29.40000000000005,94.57,1.8273,184
US_CPI,US_CPI,0.07366914435544825,25.54,-0.5465,184
US_CORE_CPI,US_CORE_CPI,0.2154345141564873,58.15,-0.0541,184
US_CORE_PCE,US_CORE_PCE,0.2455155058386671,73.66,0.3504,186
US_BREAKEVEN_10Y,US_BREAKEVEN_10Y,-4.506493506493481,26.88,-0.4067,186
USDKRW,USDKRW,-2.8407834153959532,6.45,-1.6754,186
DXY,DXY,0.42761911503244043,60.22,0.2229,186
VIX,VIX,-4.556636518648927,37.63,-0.2807,186
US_HY_SPREAD,US_HY_SPREAD,5.543290043290039,75.81,0.4096,186
FCI_TIGHTENING,FCI_TIGHTENING,-0.025800000000000045,27.96,-0.3668,186
US_ISM_MFG,US_ISM_MFG,0.16298143060580195,60.22,0.0808,186
US_UNEMPLOYMENT,US_UNEMPLOYMENT,-0.10000000000000053,30.98,-0.0877,184
US_INITIAL_CLAIMS,US_INITIAL_CLAIMS,-19.25,13.98,-0.0599,186
US_NFP_SURPRISE,US_NFP_SURPRISE,-23.0,4.3,-0.1099,186
KR_EXPORT_GROWTH,KR_EXPORT_GROWTH,91.11123618051103,100.0,5.5404,174
