Indicator,Asset,Indicator_Column,Return_Column,Beta,R2,Correlation,Direction_Consistency,N
US10Y,Domestic_Equity,US10Y,RET_DOMESTIC,0.03110832,0.016247,0.127463,0.528409,185
US10Y,Foreign_Equity,US10Y,RET_FOREIGN,0.03961833,0.055118,0.234772,0.551136,185
US10Y,Bond,US10Y,RET_BOND,-0.03811823,0.568675,-0.754105,0.221591,185
US10Y,Gold,US10Y,RET_GOLD,-0.05710485,0.070277,-0.265097,0.388571,186
US2Y,Domestic_Equity,US2Y,RET_DOMESTIC,0.02804505,0.010892,0.104363,0.491525,185
US2Y,Foreign_Equity,US2Y,RET_FOREIGN,0.034472,0.034419,0.185523,0.553672,185
US2Y,Bond,US2Y,RET_BOND,-0.03067494,0.303759,-0.551143,0.350282,185
US2Y,Gold,US2Y,RET_GOLD,-0.04816243,0.041201,-0.20298,0.409091,186
US_REAL10Y,Domestic_Equity,US_REAL10Y,RET_DOMESTIC,-0.03576096,0.015898,-0.126089,0.463687,185
US_REAL10Y,Foreign_Equity,US_REAL10Y,RET_FOREIGN,-0.02649699,0.018256,-0.135116,0.463687,185
US_REAL10Y,Bond,US_REAL10Y,RET_BOND,-0.0399416,0.462347,-0.679961,0.212291,185
US_REAL10Y,Gold,US_REAL10Y,RET_GOLD,-0.0811328,0.105362,-0.324596,0.342697,186
US_10Y2Y_SPREAD,Domestic_Equity,US_10Y2Y_SPREAD,RET_DOMESTIC,0.01886027,0.002526,0.050254,0.505495,185
US_10Y2Y_SPREAD,Foreign_Equity,US_10Y2Y_SPREAD,RET_FOREIGN,0.0264481,0.010388,0.101921,0.5,185
US_10Y2Y_SPREAD,Bond,US_10Y2Y_SPREAD,RET_BOND,-0.03030669,0.152025,-0.389904,0.362637,185
US_10Y2Y_SPREAD,Gold,US_10Y2Y_SPREAD,RET_GOLD,-0.0412446,0.015475,-0.124399,0.441989,186
KR3Y,Domestic_Equity,KR3Y,RET_DOMESTIC,0.02374494,0.006853,0.082781,0.519126,184
KR3Y,Foreign_Equity,KR3Y,RET_FOREIGN,-0.00520478,0.000671,-0.025899,0.513661,184
KR3Y,Bond,KR3Y,RET_BOND,-0.05782116,0.923486,-0.960982,0.131148,184
KR3Y,Gold,KR3Y,RET_GOLD,-0.05212092,0.043287,-0.208055,0.428571,184
KR10Y,Domestic_Equity,KR10Y,RET_DOMESTIC,0.03718517,0.01609,0.126847,0.556757,185
KR10Y,Foreign_Equity,KR10Y,RET_FOREIGN,0.00210598,0.000108,0.01039,0.52973,185
KR10Y,Bond,KR10Y,RET_BOND,-0.06056429,0.995036,-0.997515,0.097297,185
KR10Y,Gold,KR10Y,RET_GOLD,-0.05142311,0.041076,-0.202672,0.453552,185
FED_HIKE_EXPECTATION,Domestic_Equity,FED_HIKE_EXPECTATION,RET_DOMESTIC,0.01754702,0.004466,0.066831,0.516854,185
FED_HIKE_EXPECTATION,Foreign_Equity,FED_HIKE_EXPECTATION,RET_FOREIGN,0.00575617,0.001005,0.031707,0.55618,185
FED_HIKE_EXPECTATION,Bond,FED_HIKE_EXPECTATION,RET_BOND,-0.03058375,0.316311,-0.562415,0.314607,185
FED_HIKE_EXPECTATION,Gold,FED_HIKE_EXPECTATION,RET_GOLD,-0.02346208,0.010248,-0.101232,0.435028,186
BOK_HIKE_EXPECTATION,Domestic_Equity,BOK_HIKE_EXPECTATION,RET_DOMESTIC,0.02374494,0.006853,0.082781,0.519126,184
BOK_HIKE_EXPECTATION,Foreign_Equity,BOK_HIKE_EXPECTATION,RET_FOREIGN,-0.00520478,0.000671,-0.025899,0.513661,184
BOK_HIKE_EXPECTATION,Bond,BOK_HIKE_EXPECTATION,RET_BOND,-0.05782116,0.923486,-0.960982,0.131148,184
BOK_HIKE_EXPECTATION,Gold,BOK_HIKE_EXPECTATION,RET_GOLD,-0.05212092,0.043287,-0.208055,0.428571,184
US_CPI,Domestic_Equity,US_CPI,RET_DOMESTIC,0.99190504,0.00336,0.057964,0.565934,183
US_CPI,Foreign_Equity,US_CPI,RET_FOREIGN,1.54303258,0.016352,0.127875,0.686813,183
US_CPI,Bond,US_CPI,RET_BOND,-1.11796956,0.097753,-0.312655,0.532967,183
US_CPI,Gold,US_CPI,RET_GOLD,0.54446086,0.001295,0.035989,0.541436,184
US_CORE_CPI,Domestic_Equity,US_CORE_CPI,RET_DOMESTIC,-1.20855898,0.001674,-0.040915,0.546448,183
US_CORE_CPI,Foreign_Equity,US_CORE_CPI,RET_FOREIGN,0.73376472,0.001241,0.035229,0.644809,183
US_CORE_CPI,Bond,US_CORE_CPI,RET_BOND,-1.22564718,0.039434,-0.198579,0.639344,183
US_CORE_CPI,Gold,US_CORE_CPI,RET_GOLD,2.55279291,0.009541,0.097678,0.532967,184
US_CORE_PCE,Domestic_Equity,US_CORE_PCE,RET_DOMESTIC,4.92793904,0.0199,0.141069,0.567568,185
US_CORE_PCE,Foreign_Equity,US_CORE_PCE,RET_FOREIGN,2.48367874,0.010573,0.102826,0.659459,185
US_CORE_PCE,Bond,US_CORE_PCE,RET_BOND,-1.50899618,0.0435,-0.208567,0.627027,185
US_CORE_PCE,Gold,US_CORE_PCE,RET_GOLD,3.97038123,0.016556,0.128671,0.532609,186
US_BREAKEVEN_10Y,Domestic_Equity,US_BREAKEVEN_10Y,RET_DOMESTIC,0.17677204,0.170884,0.413381,0.594595,185
US_BREAKEVEN_10Y,Foreign_Equity,US_BREAKEVEN_10Y,RET_FOREIGN,0.18174755,0.377831,0.61468,0.686486,185
US_BREAKEVEN_10Y,Bond,US_BREAKEVEN_10Y,RET_BOND,-0.02660038,0.090206,-0.300343,0.405405,185
US_BREAKEVEN_10Y,Gold,US_BREAKEVEN_10Y,RET_GOLD,0.00876447,0.000539,0.023206,0.461957,186
USDKRW,Domestic_Equity,USDKRW,RET_DOMESTIC,-0.89905345,0.116922,-0.341939,0.362162,185
USDKRW,Foreign_Equity,USDKRW,RET_FOREIGN,-0.84195463,0.214482,-0.463122,0.356757,185
USDKRW,Bond,USDKRW,RET_BOND,-0.11000972,0.040811,-0.202016,0.497297,185
USDKRW,Gold,USDKRW,RET_GOLD,-0.31437922,0.018593,-0.136357,0.478261,186
DXY,Domestic_Equity,DXY,RET_DOMESTIC,-1.75688551,0.196771,-0.443589,0.297297,185
DXY,Foreign_Equity,DXY,RET_FOREIGN,-1.48024843,0.292167,-0.540524,0.313514,185
DXY,Bond,DXY,RET_BOND,-0.08611191,0.01102,-0.104977,0.475676,185
DXY,Gold,DXY,RET_GOLD,-0.93344605,0.071162,-0.266763,0.380435,186
VIX,Domestic_Equity,VIX,RET_DOMESTIC,-0.10018478,0.246576,-0.496564,0.297297,185
VIX,Foreign_Equity,VIX,RET_FOREIGN,-0.11121791,0.635599,-0.797244,0.259459,185
VIX,Bond,VIX,RET_BOND,0.00041014,9.6e-05,0.009815,0.464865,185
VIX,Gold,VIX,RET_GOLD,0.00675671,0.001437,0.037909,0.532609,186
US_HY_SPREAD,Domestic_Equity,US_HY_SPREAD,RET_DOMESTIC,-0.14578497,0.217164,-0.466008,0.394595,185
US_HY_SPREAD,Foreign_Equity,US_HY_SPREAD,RET_FOREIGN,-0.16344925,0.570971,-0.755626,0.216216,185
US_HY_SPREAD,Bond,US_HY_SPREAD,RET_BOND,0.01064988,0.027017,0.164368,0.583784,185
US_HY_SPREAD,Gold,US_HY_SPREAD,RET_GOLD,0.00731612,0.000701,0.026479,0.494565,186
FCI_TIGHTENING,Domestic_Equity,FCI_TIGHTENING,RET_DOMESTIC,-32.68820153,0.243751,-0.493711,0.313514,185
FCI_TIGHTENING,Foreign_Equity,FCI_TIGHTENING,RET_FOREIGN,-35.206573,0.591422,-0.76904,0.221622,185
FCI_TIGHTENING,Bond,FCI_TIGHTENING,RET_BOND,0.55850284,0.001659,0.040729,0.545946,185
FCI_TIGHTENING,Gold,FCI_TIGHTENING,RET_GOLD,1.48716356,0.000647,0.02543,0.51087,186
US_ISM_MFG,Domestic_Equity,US_ISM_MFG,RET_DOMESTIC,0.37894402,0.015345,0.123874,0.535135,185
US_ISM_MFG,Foreign_Equity,US_ISM_MFG,RET_FOREIGN,0.3904384,0.034073,0.184588,0.551351,185
US_ISM_MFG,Bond,US_ISM_MFG,RET_BOND,0.01189354,0.000352,0.018772,0.540541,185
US_ISM_MFG,Gold,US_ISM_MFG,RET_GOLD,0.1367957,0.002561,0.050609,0.472826,186
US_UNEMPLOYMENT,Domestic_Equity,US_UNEMPLOYMENT,RET_DOMESTIC,-0.13261858,0.00056,-0.023666,0.522059,183
US_UNEMPLOYMENT,Foreign_Equity,US_UNEMPLOYMENT,RET_FOREIGN,-0.33039125,0.006991,-0.083611,0.448529,183
US_UNEMPLOYMENT,Bond,US_UNEMPLOYMENT,RET_BOND,-0.01490989,0.000162,-0.012733,0.477941,183
US_UNEMPLOYMENT,Gold,US_UNEMPLOYMENT,RET_GOLD,-0.34385593,0.00481,-0.069351,0.548148,184
US_INITIAL_CLAIMS,Domestic_Equity,US_INITIAL_CLAIMS,RET_DOMESTIC,-0.00304664,0.038414,-0.195994,0.51087,185
US_INITIAL_CLAIMS,Foreign_Equity,US_INITIAL_CLAIMS,RET_FOREIGN,-0.00362833,0.113958,-0.337576,0.434783,185
US_INITIAL_CLAIMS,Bond,US_INITIAL_CLAIMS,RET_BOND,-4.234e-05,0.000173,-0.013151,0.5,185
US_INITIAL_CLAIMS,Gold,US_INITIAL_CLAIMS,RET_GOLD,-0.0008924,0.004221,-0.064972,0.486339,186
US_NFP_SURPRISE,Domestic_Equity,US_NFP_SURPRISE,RET_DOMESTIC,-9.81e-06,1.1e-05,-0.003309,0.52973,185
US_NFP_SURPRISE,Foreign_Equity,US_NFP_SURPRISE,RET_FOREIGN,0.00013381,0.004256,0.065241,0.632432,185
US_NFP_SURPRISE,Bond,US_NFP_SURPRISE,RET_BOND,5.19e-06,7.1e-05,0.00844,0.654054,185
US_NFP_SURPRISE,Gold,US_NFP_SURPRISE,RET_GOLD,0.00013077,0.002489,0.049891,0.521739,186
KR_EXPORT_GROWTH,Domestic_Equity,KR_EXPORT_GROWTH,RET_DOMESTIC,0.05550065,0.033587,0.183268,0.494253,174
KR_EXPORT_GROWTH,Foreign_Equity,KR_EXPORT_GROWTH,RET_FOREIGN,-0.01820364,0.00777,-0.08815,0.505747,174
KR_EXPORT_GROWTH,Bond,KR_EXPORT_GROWTH,RET_BOND,-0.01310355,0.042669,-0.206565,0.442529,174
