End_Date,Indicator,Asset,Rolling_Beta,Rolling_R2,N
2013-12-01,US10Y,Domestic_Equity,0.09314393,0.26506,35
2014-01-01,US10Y,Domestic_Equity,0.09343659,0.264849,36
2014-02-01,US10Y,Domestic_Equity,0.10111747,0.313031,36
2014-03-01,US10Y,Domestic_Equity,0.10212997,0.314482,36
2014-04-01,US10Y,Domestic_Equity,0.09874639,0.33287,36
2014-05-01,US10Y,Domestic_Equity,0.10051519,0.332055,36
2014-06-01,US10Y,Domestic_Equity,0.09969276,0.325204,36
2014-07-01,US10Y,Domestic_Equity,0.09869226,0.328388,36
2014-08-01,US10Y,Domestic_Equity,0.0419546,0.068649,36
2014-09-01,US10Y,Domestic_Equity,0.02713428,0.027515,36
2014-10-01,US10Y,Domestic_Equity,0.03885654,0.05248,36
2014-11-01,US10Y,Domestic_Equity,0.04347012,0.064729,36
2014-12-01,US10Y,Domestic_Equity,0.04446204,0.068655,36
2015-01-01,US10Y,Domestic_Equity,0.04348376,0.07557,36
2015-02-01,US10Y,Domestic_Equity,0.04526451,0.09441,36
2015-03-01,US10Y,Domestic_Equity,0.0466745,0.093432,36
2015-04-01,US10Y,Domestic_Equity,0.03969964,0.061431,36
2015-05-01,US10Y,Domestic_Equity,0.02353688,0.025326,36
2015-06-01,US10Y,Domestic_Equity,0.01314509,0.007658,36
2015-07-01,US10Y,Domestic_Equity,0.01185269,0.006215,36
2015-08-01,US10Y,Domestic_Equity,0.01447855,0.009217,36
2015-09-01,US10Y,Domestic_Equity,0.01393806,0.008708,36
2015-10-01,US10Y,Domestic_Equity,0.00861354,0.003106,36
2015-11-01,US10Y,Domestic_Equity,0.00373575,0.000611,36
2015-12-01,US10Y,Domestic_Equity,0.00221118,0.000225,36
2016-01-01,US10Y,Domestic_Equity,0.00793481,0.002682,36
2016-02-01,US10Y,Domestic_Equity,0.00623149,0.001828,36
2016-03-01,US10Y,Domestic_Equity,0.01069512,0.005114,36
2016-04-01,US10Y,Domestic_Equity,0.00436925,0.000849,36
2016-05-01,US10Y,Domestic_Equity,0.00113876,5.6e-05,36
2016-06-01,US10Y,Domestic_Equity,0.02213892,0.020323,36
2016-07-01,US10Y,Domestic_Equity,0.02738106,0.027941,36
2016-08-01,US10Y,Domestic_Equity,0.02720173,0.026348,36
2016-09-01,US10Y,Domestic_Equity,0.02001981,0.016007,36
2016-10-01,US10Y,Domestic_Equity,0.02450552,0.024487,36
2016-11-01,US10Y,Domestic_Equity,0.00830628,0.00329,36
2016-12-01,US10Y,Domestic_Equity,0.01753487,0.016079,36
2017-01-01,US10Y,Domestic_Equity,0.01582822,0.013176,36
2017-02-01,US10Y,Domestic_Equity,0.01484824,0.01136,36
2017-03-01,US10Y,Domestic_Equity,0.0163387,0.013459,36
2017-04-01,US10Y,Domestic_Equity,0.01409412,0.01046,36
2017-05-01,US10Y,Domestic_Equity,0.01433334,0.008943,36
2017-06-01,US10Y,Domestic_Equity,0.01093765,0.005026,36
2017-07-01,US10Y,Domestic_Equity,0.01296588,0.007164,36
2017-08-01,US10Y,Domestic_Equity,0.01726134,0.012507,36
2017-09-01,US10Y,Domestic_Equity,0.01916215,0.015288,36
2017-10-01,US10Y,Domestic_Equity,0.01177235,0.006154,36
2017-11-01,US10Y,Domestic_Equity,0.01148359,0.005699,36
2017-12-01,US10Y,Domestic_Equity,0.00752158,0.002314,36
2018-01-01,US10Y,Domestic_Equity,0.00357292,0.000472,36
2018-02-01,US10Y,Domestic_Equity,-0.00984867,0.003632,36
2018-03-01,US10Y,Domestic_Equity,-0.01067362,0.004346,36
2018-04-01,US10Y,Domestic_Equity,-0.00469661,0.000896,36
2018-05-01,US10Y,Domestic_Equity,-0.00536575,0.001102,36
2018-06-01,US10Y,Domestic_Equity,0.00343024,0.000443,36
2018-07-01,US10Y,Domestic_Equity,0.00536683,0.000958,36
2018-08-01,US10Y,Domestic_Equity,-0.00653843,0.001568,36
2018-09-01,US10Y,Domestic_Equity,-0.00588559,0.001288,36
2018-10-01,US10Y,Domestic_Equity,-0.01058183,0.003606,36
2018-11-01,US10Y,Domestic_Equity,-0.00593607,0.001035,36
2018-12-01,US10Y,Domestic_Equity,-0.00284329,0.000271,36
2019-01-01,US10Y,Domestic_Equity,-0.01316534,0.006103,36
2019-02-01,US10Y,Domestic_Equity,-0.01913568,0.010175,36
2019-03-01,US10Y,Domestic_Equity,-0.01851064,0.009854,36
2019-04-01,US10Y,Domestic_Equity,-0.01919651,0.010374,36
2019-05-01,US10Y,Domestic_Equity,-0.00798769,0.001671,36
2019-06-01,US10Y,Domestic_Equity,-0.00697773,0.001422,36
2019-07-01,US10Y,Domestic_Equity,-0.00468455,0.000622,36
2019-08-01,US10Y,Domestic_Equity,0.02444179,0.018348,36
2019-09-01,US10Y,Domestic_Equity,0.02806811,0.022291,36
2019-10-01,US10Y,Domestic_Equity,0.02874821,0.022946,36
2019-11-01,US10Y,Domestic_Equity,0.05047608,0.060568,36
2019-12-01,US10Y,Domestic_Equity,0.0511516,0.053019,36
2020-01-01,US10Y,Domestic_Equity,0.04915956,0.049009,36
2020-02-01,US10Y,Domestic_Equity,0.05163415,0.057796,36
2020-03-01,US10Y,Domestic_Equity,0.1267568,0.274331,36
2020-04-01,US10Y,Domestic_Equity,0.12153305,0.248609,36
2020-05-01,US10Y,Domestic_Equity,0.12184058,0.251555,36
2020-06-01,US10Y,Domestic_Equity,0.13176715,0.267965,36
2020-07-01,US10Y,Domestic_Equity,0.13004903,0.25307,36
2020-08-01,US10Y,Domestic_Equity,0.13375429,0.251523,36
2020-09-01,US10Y,Domestic_Equity,0.13366334,0.252022,36
2020-10-01,US10Y,Domestic_Equity,0.12827884,0.232149,36
2020-11-01,US10Y,Domestic_Equity,0.13268101,0.242213,36
2020-12-01,US10Y,Domestic_Equity,0.14405848,0.256282,36
2021-01-01,US10Y,Domestic_Equity,0.16157858,0.282338,36
2021-02-01,US10Y,Domestic_Equity,0.18184427,0.345107,36
2021-03-01,US10Y,Domestic_Equity,0.14971109,0.265971,36
2021-04-01,US10Y,Domestic_Equity,0.15191644,0.270408,36
2021-05-01,US10Y,Domestic_Equity,0.15532676,0.277633,36
2021-06-01,US10Y,Domestic_Equity,0.1529827,0.272192,36
2021-07-01,US10Y,Domestic_Equity,0.15245199,0.285563,36
2021-08-01,US10Y,Domestic_Equity,0.15301382,0.284367,36
2021-09-01,US10Y,Domestic_Equity,0.15080965,0.273434,36
2021-10-01,US10Y,Domestic_Equity,0.14704645,0.271473,36
2021-11-01,US10Y,Domestic_Equity,0.14716541,0.277638,36
2021-12-01,US10Y,Domestic_Equity,0.15087546,0.278456,36
2022-01-01,US10Y,Domestic_Equity,0.12544295,0.202055,36
2022-02-01,US10Y,Domestic_Equity,0.11346803,0.167988,36
2022-03-01,US10Y,Domestic_Equity,0.10567832,0.150854,36
2022-04-01,US10Y,Domestic_Equity,0.08056858,0.113493,36
2022-05-01,US10Y,Domestic_Equity,0.07291309,0.095252,36
2022-06-01,US10Y,Domestic_Equity,0.0676428,0.075591,36
2022-07-01,US10Y,Domestic_Equity,0.07356776,0.090417,36
2022-08-01,US10Y,Domestic_Equity,0.06101599,0.056329,36
2022-09-01,US10Y,Domestic_Equity,0.02895103,0.015179,36
2022-10-01,US10Y,Domestic_Equity,0.01615562,0.005007,36
2022-11-01,US10Y,Domestic_Equity,0.00936609,0.00161,36
2022-12-01,US10Y,Domestic_Equity,0.01353154,0.003507,36
2023-01-01,US10Y,Domestic_Equity,0.01508392,0.004371,36
2023-02-01,US10Y,Domestic_Equity,0.0147272,0.004004,36
2023-03-01,US10Y,Domestic_Equity,-0.06003816,0.073261,36
2023-04-01,US10Y,Domestic_Equity,-0.06113008,0.075314,36
2023-05-01,US10Y,Domestic_Equity,-0.0593003,0.072844,36
2023-06-01,US10Y,Domestic_Equity,-0.05639771,0.072082,36
2023-07-01,US10Y,Domestic_Equity,-0.05509945,0.067707,36
2023-08-01,US10Y,Domestic_Equity,-0.05328312,0.068585,36
2023-09-01,US10Y,Domestic_Equity,-0.05377716,0.07001,36
2023-10-01,US10Y,Domestic_Equity,-0.06110438,0.091664,36
2023-11-01,US10Y,Domestic_Equity,-0.0600398,0.102046,36
2023-12-01,US10Y,Domestic_Equity,-0.06043965,0.141608,36
2024-01-01,US10Y,Domestic_Equity,-0.06385105,0.209117,36
2024-02-01,US10Y,Domestic_Equity,-0.06296476,0.193553,36
2024-03-01,US10Y,Domestic_Equity,-0.06392109,0.190729,36
2024-04-01,US10Y,Domestic_Equity,-0.06158333,0.191844,36
2024-05-01,US10Y,Domestic_Equity,-0.06214335,0.1951,36
2024-06-01,US10Y,Domestic_Equity,-0.06060152,0.191531,36
2024-07-01,US10Y,Domestic_Equity,-0.06372685,0.202598,36
2024-08-01,US10Y,Domestic_Equity,-0.04880448,0.122464,36
2024-09-01,US10Y,Domestic_Equity,-0.04620326,0.111453,36
2024-10-01,US10Y,Domestic_Equity,-0.04149092,0.096936,36
2024-11-01,US10Y,Domestic_Equity,-0.04357644,0.105761,36
2024-12-01,US10Y,Domestic_Equity,-0.04276354,0.100175,36
2025-01-01,US10Y,Domestic_Equity,-0.03764972,0.078315,36
2025-02-01,US10Y,Domestic_Equity,-0.03824315,0.084912,36
2025-03-01,US10Y,Domestic_Equity,-0.03751568,0.083023,36
2025-04-01,US10Y,Domestic_Equity,-0.04307691,0.091818,36
2025-05-01,US10Y,Domestic_Equity,-0.03930178,0.072176,36
2025-06-01,US10Y,Domestic_Equity,-0.03911965,0.056867,36
2025-07-01,US10Y,Domestic_Equity,-0.04945803,0.084872,36
2025-08-01,US10Y,Domestic_Equity,-0.04780196,0.082718,36
2025-09-01,US10Y,Domestic_Equity,-0.0383027,0.047114,36
2025-10-01,US10Y,Domestic_Equity,-0.03048185,0.023383,36
2025-11-01,US10Y,Domestic_Equity,-0.0255818,0.016927,36
2025-12-01,US10Y,Domestic_Equity,-0.03440569,0.029958,36
2026-01-01,US10Y,Domestic_Equity,-0.03033372,0.01692,36
2026-02-01,US10Y,Domestic_Equity,-0.04201084,0.02553,36
2026-03-01,US10Y,Domestic_Equity,-0.04655421,0.031604,36
2026-04-01,US10Y,Domestic_Equity,-0.04291215,0.025033,36
2026-05-01,US10Y,Domestic_Equity,-0.01931539,0.003435,36
2026-06-01,US10Y,Domestic_Equity,-0.02098002,0.003834,36
2026-07-01,US10Y,Domestic_Equity,-0.01764346,0.002702,35
2013-12-01,US10Y,Foreign_Equity,0.10532648,0.470354,35
2014-01-01,US10Y,Foreign_Equity,0.10523707,0.469693,36
2014-02-01,US10Y,Foreign_Equity,0.10442321,0.461529,36
2014-03-01,US10Y,Foreign_Equity,0.10448687,0.45587,36
2014-04-01,US10Y,Foreign_Equity,0.10400763,0.454011,36
2014-05-01,US10Y,Foreign_Equity,0.1050079,0.446117,36
2014-06-01,US10Y,Foreign_Equity,0.10216596,0.437716,36
2014-07-01,US10Y,Foreign_Equity,0.10191346,0.4391,36
2014-08-01,US10Y,Foreign_Equity,0.05963009,0.185689,36
2014-09-01,US10Y,Foreign_Equity,0.04780786,0.119573,36
2014-10-01,US10Y,Foreign_Equity,0.06029114,0.166147,36
2014-11-01,US10Y,Foreign_Equity,0.06278898,0.165635,36
2014-12-01,US10Y,Foreign_Equity,0.06480467,0.176097,36
2015-01-01,US10Y,Foreign_Equity,0.06576368,0.213047,36
2015-02-01,US10Y,Foreign_Equity,0.0669844,0.236986,36
2015-03-01,US10Y,Foreign_Equity,0.06817702,0.232985,36
2015-04-01,US10Y,Foreign_Equity,0.06451958,0.214026,36
2015-05-01,US10Y,Foreign_Equity,0.04770837,0.139646,36
2015-06-01,US10Y,Foreign_Equity,0.03781115,0.08846,36
2015-07-01,US10Y,Foreign_Equity,0.04249857,0.108647,36
2015-08-01,US10Y,Foreign_Equity,0.0462129,0.121233,36
2015-09-01,US10Y,Foreign_Equity,0.04639174,0.10069,36
2015-10-01,US10Y,Foreign_Equity,0.04175318,0.078469,36
2015-11-01,US10Y,Foreign_Equity,0.03815884,0.069368,36
2015-12-01,US10Y,Foreign_Equity,0.03793647,0.067508,36
2016-01-01,US10Y,Foreign_Equity,0.04278218,0.072235,36
2016-02-01,US10Y,Foreign_Equity,0.04185688,0.076619,36
2016-03-01,US10Y,Foreign_Equity,0.04916626,0.090428,36
