Type,Name,Requested_Column,Resolved_Column,Status,NonNull_Count
INDICATOR,US10Y,US10Y,US10Y,MAPPED,186
INDICATOR,US2Y,US2Y,US2Y,MAPPED,186
INDICATOR,US_REAL10Y,US_REAL10Y,US_REAL10Y,MAPPED,186
INDICATOR,US_10Y2Y_SPREAD,US_10Y2Y_SPREAD,US_10Y2Y_SPREAD,MAPPED,186
INDICATOR,KR3Y,KR3Y,KR3Y,MAPPED,184
INDICATOR,KR10Y,KR10Y,KR10Y,MAPPED,185
INDICATOR,FED_HIKE_EXPECTATION,FED_HIKE_EXPECTATION,FED_HIKE_EXPECTATION,MAPPED,186
INDICATOR,BOK_HIKE_EXPECTATION,BOK_HIKE_EXPECTATION,BOK_HIKE_EXPECTATION,MAPPED,184
INDICATOR,US_CPI,US_CPI_SURPRISE,US_CPI,FALLBACK_TO_INDICATOR,184
INDICATOR,US_CORE_CPI,US_CORE_CPI_SURPRISE,US_CORE_CPI,FALLBACK_TO_INDICATOR,184
INDICATOR,US_CORE_PCE,US_CORE_PCE_SURPRISE,US_CORE_PCE,FALLBACK_TO_INDICATOR,186
INDICATOR,US_BREAKEVEN_10Y,US_BREAKEVEN_10Y,US_BREAKEVEN_10Y,MAPPED,186
INDICATOR,KR_CPI,KR_CPI_SURPRISE,KR_CPI,FALLBACK_TO_INDICATOR,0
INDICATOR,USDKRW,USDKRW,USDKRW,MAPPED,186
INDICATOR,DXY,DXY,DXY,MAPPED,186
INDICATOR,VIX,VIX,VIX,MAPPED,186
INDICATOR,MOVE,MOVE,MOVE,MAPPED,0
INDICATOR,US_HY_SPREAD,US_HY_SPREAD,US_HY_SPREAD,MAPPED,186
INDICATOR,FCI_TIGHTENING,FCI_TIGHTENING,FCI_TIGHTENING,MAPPED,186
INDICATOR,GEOPOLITICAL_RISK,GEOPOLITICAL_RISK,GEOPOLITICAL_RISK,MAPPED,0
INDICATOR,US_ISM_MFG,US_ISM_MFG_SURPRISE,US_ISM_MFG,FALLBACK_TO_INDICATOR,186
INDICATOR,US_UNEMPLOYMENT,US_UNEMPLOYMENT_SURPRISE,US_UNEMPLOYMENT,FALLBACK_TO_INDICATOR,184
INDICATOR,US_INITIAL_CLAIMS,US_INITIAL_CLAIMS_SURPRISE,US_INITIAL_CLAIMS,FALLBACK_TO_INDICATOR,186
INDICATOR,US_NFP_SURPRISE,US_NFP_SURPRISE,US_NFP_SURPRISE,MAPPED,186
INDICATOR,KR_EXPORT_GROWTH,KR_EXPORT_SURPRISE,KR_EXPORT_GROWTH,FALLBACK_TO_INDICATOR,174
INDICATOR,KR_SEMI_EXPORT_GROWTH,KR_SEMI_EXPORT_SURPRISE,KR_SEMI_EXPORT_GROWTH,FALLBACK_TO_INDICATOR,0
INDICATOR,CB_GOLD_NET_BUYING,CB_GOLD_NET_BUYING,CB_GOLD_NET_BUYING,MAPPED,0
ASSET,Domestic_Equity,RET_DOMESTIC,RET_DOMESTIC,OK,185
ASSET,Foreign_Equity,RET_FOREIGN,RET_FOREIGN,OK,185
ASSET,Bond,RET_BOND,RET_BOND,OK,185
ASSET,Gold,RET_GOLD,RET_GOLD,OK,186
